ticker,segmento,ventana,dia_rel,car_medio,car_medio_sin_alpha,n_eventos
DDOG,baja,20,18,-0.12391,-0.054195,9
DDOG,baja,20,19,-0.107451,-0.035948,9
DDOG,baja,20,20,-0.142714,-0.069424,9
DIS,alta,20,-20,-0.003349,-0.003971,10
DIS,alta,20,-19,-0.006358,-0.007602,10
DIS,alta,20,-18,-0.004756,-0.006622,10
DIS,alta,20,-17,-0.010843,-0.013332,10
DIS,alta,20,-16,-0.007798,-0.010909,10
DIS,alta,20,-15,-0.011257,-0.01499,10
DIS,alta,20,-14,-0.010781,-0.015136,10
DIS,alta,20,-13,-0.018179,-0.023156,10
DIS,alta,20,-12,-0.017055,-0.022654,10
DIS,alta,20,-11,-0.023482,-0.029703,10
DIS,alta,20,-10,-0.019205,-0.026048,10
DIS,alta,20,-9,-0.019021,-0.026487,10
DIS,alta,20,-8,-0.031869,-0.039957,10
DIS,alta,20,-7,-0.029423,-0.038133,10
DIS,alta,20,-6,-0.028076,-0.037408,10
DIS,alta,20,-5,-0.026673,-0.036627,10
DIS,alta,20,-4,-0.025851,-0.036427,10
DIS,alta,20,-3,-0.011056,-0.022254,10
DIS,alta,20,-2,-0.011467,-0.023287,10
DIS,alta,20,-1,-0.01505,-0.027493,10
DIS,alta,20,0,-0.005922,-0.018987,10
DIS,alta,20,1,-0.022491,-0.036179,10
DIS,alta,20,2,-0.022212,-0.036521,10
DIS,alta,20,3,-0.017033,-0.031964,10
DIS,alta,20,4,-0.015232,-0.030786,10
DIS,alta,20,5,-0.018087,-0.034262,10
DIS,alta,20,6,-0.014463,-0.031261,10
DIS,alta,20,7,-0.011952,-0.029372,10
DIS,alta,20,8,-0.008585,-0.026627,10
DIS,alta,20,9,-0.011299,-0.029963,10
DIS,alta,20,10,-0.014022,-0.033308,10
DIS,alta,20,11,-0.010855,-0.030764,10
DIS,alta,20,12,-0.011134,-0.031665,10
DIS,alta,20,13,-0.006312,-0.027465,10
DIS,alta,20,14,-0.008111,-0.029886,10
DIS,alta,20,15,-0.009875,-0.032272,10
DIS,alta,20,16,-0.004719,-0.027738,10
DIS,alta,20,17,-0.01021,-0.033851,10
DIS,alta,20,18,-0.012793,-0.037056,10
DIS,alta,20,19,-0.01593,-0.040816,10
DIS,alta,20,20,-0.001761,-0.027269,10
NCLH,alta,20,-20,0.009533,0.009065,9
NCLH,alta,20,-19,0.005304,0.004368,9
NCLH,alta,20,-18,-0.017996,-0.0194,9
NCLH,alta,20,-17,-0.012747,-0.014619,9
NCLH,alta,20,-16,-0.007529,-0.009869,9
NCLH,alta,20,-15,-0.010075,-0.012883,9
NCLH,alta,20,-14,-0.011548,-0.014824,9
NCLH,alta,20,-13,-0.011456,-0.0152,9
NCLH,alta,20,-12,0.006776,0.002564,9
NCLH,alta,20,-11,0.009595,0.004915,9
NCLH,alta,20,-10,-0.001964,-0.007112,9
NCLH,alta,20,-9,-0.003035,-0.008651,9
NCLH,alta,20,-8,-0.007094,-0.013178,9
NCLH,alta,20,-7,0.006215,-0.000337,9
NCLH,alta,20,-6,0.019371,0.012351,9
NCLH,alta,20,-5,0.014171,0.006683,9
NCLH,alta,20,-4,0.020441,0.012485,9
NCLH,alta,20,-3,0.02363,0.015206,9
NCLH,alta,20,-2,0.022077,0.013185,9
NCLH,alta,20,-1,0.021526,0.012166,9
NCLH,alta,20,0,0.0307,0.020871,9
NCLH,alta,20,1,0.024917,0.014621,9
NCLH,alta,20,2,0.022027,0.011263,9
NCLH,alta,20,3,0.032041,0.020809,9
NCLH,alta,20,4,0.043334,0.031633,9
NCLH,alta,20,5,0.045019,0.032851,9
NCLH,alta,20,6,0.023891,0.011255,9
NCLH,alta,20,7,0.00323,-0.009874,9
NCLH,alta,20,8,0.00715,-0.006422,9
NCLH,alta,20,9,-0.014183,-0.028223,9
NCLH,alta,20,10,-0.015504,-0.030012,9
NCLH,alta,20,11,0.000843,-0.014133,9
NCLH,alta,20,12,0.021431,0.005987,9
NCLH,alta,20,13,0.03048,0.014568,9
NCLH,alta,20,14,0.033569,0.017189,9
NCLH,alta,20,15,0.024136,0.007288,9
NCLH,alta,20,16,0.01649,-0.000827,9
NCLH,alta,20,17,0.022022,0.004237,9
NCLH,alta,20,18,0.020717,0.002464,9
NCLH,alta,20,19,0.012189,-0.006531,9
NCLH,alta,20,20,0.015752,-0.003437,9
TGT,media,20,-20,-0.000232,0.000322,9
TGT,media,20,-19,-0.002189,-0.00108,9
TGT,media,20,-18,-0.002505,-0.000842,9
TGT,media,20,-17,-0.002856,-0.000639,9
TGT,media,20,-16,-0.006367,-0.003595,9
TGT,media,20,-15,-0.007452,-0.004126,9
TGT,media,20,-14,-0.003829,5.2e-05,9
TGT,media,20,-13,-0.006237,-0.001803,9
TGT,media,20,-12,-0.006927,-0.001938,9
TGT,media,20,-11,-0.002483,0.003061,9
TGT,media,20,-10,-0.006013,8.5e-05,9
TGT,media,20,-9,-0.006756,-0.000104,9
TGT,media,20,-8,-0.013271,-0.006065,9
TGT,media,20,-7,-0.017583,-0.009822,9
TGT,media,20,-6,-0.017459,-0.009144,9
TGT,media,20,-5,-0.028958,-0.020089,9
TGT,media,20,-4,-0.025359,-0.015936,9
TGT,media,20,-3,-0.019837,-0.009859,9
TGT,media,20,-2,-0.014862,-0.00433,9
TGT,media,20,-1,-0.013971,-0.002884,9
TGT,media,20,0,-0.045398,-0.033757,9
TGT,media,20,1,-0.044349,-0.032154,9
TGT,media,20,2,-0.041864,-0.029114,9
TGT,media,20,3,-0.048646,-0.035342,9
TGT,media,20,4,-0.053362,-0.039504,9
TGT,media,20,5,-0.044802,-0.030389,9
TGT,media,20,6,-0.040302,-0.025335,9
TGT,media,20,7,-0.038873,-0.023352,9
TGT,media,20,8,-0.046177,-0.030102,9
TGT,media,20,9,-0.051221,-0.034591,9
TGT,media,20,10,-0.04994,-0.032756,9
TGT,media,20,11,-0.048585,-0.030847,9
TGT,media,20,12,-0.055212,-0.036919,9
TGT,media,20,13,-0.050443,-0.031596,9
TGT,media,20,14,-0.050358,-0.030956,9
TGT,media,20,15,-0.052654,-0.032698,9
TGT,media,20,16,-0.057146,-0.036636,9
TGT,media,20,17,-0.063261,-0.042197,9
TGT,media,20,18,-0.060795,-0.039176,9
TGT,media,20,19,-0.060623,-0.03845,9
TGT,media,20,20,-0.063139,-0.040412,9
