ticker,dia,n_mensajes,finbert,probe,vader
DIS,2020-07-29,20,0.1452,0.0506,0.0864
DIS,2020-07-30,20,0.0849,0.3086,0.1169
DIS,2020-07-31,20,0.2304,0.2898,0.1559
DIS,2020-08-01,20,-0.0305,0.1888,0.0368
DIS,2020-08-02,20,0.045,0.2069,0.0871
DIS,2020-08-03,20,0.0232,0.0075,0.103
DIS,2020-08-04,20,-0.1136,0.0696,0.058
DIS,2020-08-05,20,0.1199,0.4432,0.127
DIS,2020-08-06,20,-0.0777,0.2802,-0.0155
DIS,2020-08-07,20,0.158,0.2111,0.0864
DIS,2020-08-08,20,-0.0486,0.2097,0.0545
DIS,2020-08-09,20,-0.039,0.2146,0.0734
DIS,2020-08-10,20,-0.0141,0.1833,-0.0251
DIS,2020-08-11,20,-0.0334,0.4336,0.1053
DIS,2020-08-12,20,-0.0871,0.2441,0.0346
DIS,2020-08-13,20,-0.1605,0.1598,-0.0556
DIS,2020-08-14,20,-0.0727,0.3752,0.0695
DIS,2020-08-15,20,0.0683,0.4029,0.0336
DIS,2020-08-16,20,-0.0142,0.328,0.0755
DIS,2020-08-17,20,-0.0101,0.2859,0.0395
DIS,2020-08-18,20,-0.0385,0.1244,0.0403
DIS,2020-08-19,20,0.0375,0.366,0.0319
DIS,2020-08-20,20,0.0032,0.4394,0.1172
DIS,2020-08-21,20,-0.0166,0.3622,0.0707
DIS,2020-08-22,20,0.0737,0.219,0.0422
DIS,2020-08-23,20,0.0358,0.249,0.0492
DIS,2020-08-24,20,0.2483,0.375,0.1508
DIS,2020-08-25,20,-0.0443,0.3867,0.0396
DIS,2020-08-26,20,0.1312,0.4327,0.0456
DIS,2020-08-27,20,0.0458,0.2148,0.0588
DIS,2020-08-28,20,0.0886,0.4003,0.0626
DIS,2020-08-29,20,-0.0125,0.2164,-0.0006
DIS,2020-08-30,20,0.1,0.3197,0.0457
DIS,2020-08-31,20,-0.1237,0.1705,0.0181
DIS,2020-09-01,20,0.0886,0.4555,0.1146
DIS,2020-09-02,20,0.0541,0.3555,0.0629
DIS,2020-09-03,20,0.0508,0.2481,0.1516
DIS,2020-09-04,20,0.1593,0.562,0.1172
DIS,2020-09-05,20,-0.0325,0.158,0.0274
DIS,2020-09-06,20,-0.042,0.2619,0.0951
DIS,2020-09-07,20,0.07,0.2064,0.0115
DIS,2020-09-08,20,-0.0434,0.3189,0.0915
DIS,2020-09-09,20,-0.1785,0.0379,0.0492
DIS,2020-09-10,20,0.0092,0.1566,0.0856
DIS,2020-09-11,20,-0.0432,0.1791,0.1205
DIS,2020-09-12,20,0.1646,0.3763,0.0869
DIS,2020-09-13,20,-0.1848,0.2279,-0.0331
DIS,2020-09-14,20,-0.0279,0.2733,0.1524
DIS,2020-09-15,20,0.1069,0.3709,0.0558
DIS,2020-09-16,20,0.0791,0.4097,0.0806
DIS,2020-09-17,20,0.0143,0.1613,0.0316
DIS,2020-09-18,20,0.0382,0.3651,0.0784
DIS,2020-09-19,20,0.1005,0.2932,0.1422
DIS,2020-09-20,20,0.0839,0.2039,0.0728
DIS,2020-09-21,20,-0.1514,0.1488,-0.016
DIS,2020-09-22,20,0.1942,0.3613,0.0771
DIS,2020-09-23,20,-0.0006,0.2918,0.1114
DIS,2020-09-24,20,-0.2255,0.1228,0.0075
DIS,2020-09-25,20,-0.0706,0.4398,0.0356
DIS,2020-09-26,20,0.0046,0.2085,0.0368
DIS,2020-09-27,16,0.007,0.3994,0.0233
DIS,2020-09-28,20,0.1268,0.2955,0.0915
DIS,2020-09-29,20,-0.1906,0.146,0.0762
DIS,2020-09-30,20,-0.2358,0.0973,0.0448
DIS,2020-10-01,20,0.0589,0.3449,0.1124
DIS,2020-10-02,20,-0.1428,0.1962,0.0291
DIS,2020-10-03,20,0.1061,0.1755,0.0714
DIS,2020-10-04,20,-0.0987,0.0082,0.0198
DIS,2020-10-05,20,-0.1114,0.2371,-0.003
DIS,2020-10-06,20,-0.093,0.1343,0.0433
DIS,2020-10-07,20,-0.015,0.3166,0.102
DIS,2020-10-08,20,0.0534,0.3524,0.0932
DIS,2020-10-09,20,0.1174,0.4458,0.062
DIS,2020-10-10,20,-0.0996,0.2137,0.0312
DIS,2020-10-11,20,0.0294,0.3116,0.0638
DIS,2020-10-12,20,0.0601,0.1968,0.1156
DIS,2020-10-13,20,0.0541,0.1859,0.0377
DIS,2020-10-14,20,0.0611,0.3086,0.0804
DIS,2020-10-15,20,0.1242,0.3589,0.0443
DIS,2020-10-16,20,0.0618,0.2589,0.0122
DIS,2020-10-17,20,0.0951,0.1687,0.0633
DIS,2020-10-18,20,0.0394,0.3097,0.0362
DIS,2020-10-19,20,-0.0426,0.285,-0.0215
DIS,2020-10-20,20,0.0711,0.2159,0.125
DIS,2020-10-21,20,0.1305,0.1577,0.1066
DIS,2020-10-22,20,0.1473,0.4256,0.1316
DIS,2020-10-23,20,0.1349,0.2606,0.0674
DIS,2020-10-24,20,-0.0226,0.326,0.0502
DIS,2020-10-25,20,-0.143,0.3076,0.014
DIS,2020-10-26,20,0.0251,0.3583,0.0536
DIS,2020-10-27,20,0.0214,0.2672,0.0428
DIS,2020-10-28,20,-0.0219,0.1711,0.047
DIS,2020-10-29,20,-0.0142,0.3868,0.0119
DIS,2020-10-30,20,0.0165,0.3589,0.1314
DIS,2020-10-31,20,0.0163,0.238,0.0649
DIS,2020-11-01,20,0.0682,0.2878,0.0654
DIS,2020-11-02,20,-0.0029,0.4301,0.0767
DIS,2020-11-03,20,0.0475,0.2798,0.1254
DIS,2020-11-04,20,0.1324,0.2918,0.1207
